name,totalBytes,
C,6319402460530,
JavaScript,1249267936642,
C++,529122299493,
PHP,519028950155,
HTML,329636532661,
Java,301660587030,
Python,181598737440,
CSS,155046266421,
Assembly,137581430043,
C#,136612226532,
Go,65753518937,
Objective-C,60614108953,
Jupyter Notebook,54444110173,
Ruby,36483511776,
TypeScript,32409649825,
